"아굴절, 亞掘折, sub-refraction",,굴절 기울기가 표준 굴절 기울기보다 큰 굴절. 부분 굴절이라고도 한다. 이로 인해 전파 통로의 곡률 반지름은 표준 굴절의 경우보다 커지게 된다. →굴절률.
"애플리케이션 다국어 도메인 이름, -多國語-, Internationalized Domain Names in Application, IDNA",,"특수 접두어가 붙은 아스키(ASCII) 이름을 사용하여 도메인 이름에 비아스키(ASCII) 이름을 표시한 다국어 지원 도메인 이름 시스템 통신 규약. 다국어 도메인 이름(IDN: Internationalized Domain Names)에서는 유니코드 문자를 사용하여 비아스키 문자를 나타내지만, IDNA는 주컴퓨터에 사용된 동일 옥텟(octet)을 사용한다. 아스키 호환 부호화(ACE: ASCII Compatible Encoding)을 사용할 경우 기존의 DNS 서버의 수정 없이 처리할 수 있다."
"애플리케이션 딜리버리 네트워킹, Application Delivery Networking, ADN",,어떤 업무 환경이나 장소에도 구애받지 않고 사용자의 다양한 이동 단말에게 필요한 애플리케이션을 안전하고 빠르게 전달하는 네트워킹 기술. 가상화 솔루션과 결합하여 관리의 효율성은 물론 비용 절감 효과까지 얻을 수 있어 지역에 공장이나 지점을 둔 기업이나 금융 기관 등에서 활용될 수 있다.
"애플리케이션 딜리버리 컨트롤러, Application Delivery Controller, ADC",,"데이터 센터 내에 설치된 네트워크 장비로, 주로 부하 분산이나 보안 강화 기능을 구현하는 장비. 일반적으로 데이터 센터의 웹 서버 앞에 위치하며, 기존의 계층 4 또는 계층 7 스위치와 유사하게 네트워크와 애플리케이션 계층에서 서비스를 제공함으로써 웹 혹은 인터넷 프로토콜을 기반으로 하는 애플리케이션의 보안, 성능, 가용성을 향상시키는 역할을 수행한다."
"애플리케이션 생명 주기 관리, -生命週期管理, Application Life cycle Management, ALM",,"기업의 경쟁력 제고와 경영 혁신을 위한 솔루션. 개발 주기상의 모든 활동들로 프로젝트 및 포트폴리오 관리, 요구 사항 관리, 모델링 및 설계, 개발, 테스팅 및 품질 관리, 변경 및 형상 관리로 구분할 수 있다. 애플리케이션 품질 확보가 가능하고 보다 신속한 애플리케이션 개발과 효율적인 프로젝트 관리 방안을 제시하기 위하여 필요하다고 할 수 있다. 이들 활동에 의해 만들어지거나 사용된 산출물 간의 관계를 관리하며, 총괄적으로 개발 주기의 진행을 보고하여 성공적인 개발과 관리 및 생산성 향상을 도모하는 기법이다."
"애플리케이션 성능 관리, -性能管理, Application Performance Management, APM",,"최종 사용자에게 향상된 서비스를 제공하기 위해 애플리케이션의 흐름 모니터링과 성능 예측을 통해 최적의 애플리케이션 상태를 보장하고 관리하는 것. 애플리케이션 성능에 대한 문제는 서버, 클라이언트, 네트워크, 시스템 리소스 등의 여러 가지 요소에서 야기될 수 있으며 이들 몇 가지가 복합적으로 동시에 작용해 야기될 수도 있는데 이를 해결하기 위하여 사용자의 관점에서 애플리케이션의 실시간 성능을 모니터링하고 응답 시간을 측정하여 성능 저하 원인을 규명하며, 서비스가 일정 수준 이상으로 유지되도록 통계 및 예측을 통한 관리를 하는 등 지속적이고 신뢰할 수 있는 애플리케이션 성능과 최상의 애플리케이션 가용성을 확보하기 위한 활동을 수행한다."
"애플리케이션 인프라 제공자, -提供者, Application Infrastructure Provider, AIP",,"인터넷상에서 온라인 서비스의 기반이 되는 각종 인프라 서비스를 제공하거나 임대, 또는 호스팅해 주는 서비스 제공자. 일종의 응용 서비스 제공자(ASP) 사업자들이 필요로 하는 인프라 서비스를 임대해 주는 ASP로서 인터넷상에서의 애플리케이션 비즈니스 지원을 위한 시스템 관리, 보안, 콘텐츠 관리, 데이터 백업, 안전한 전자 결제, 네트워크 및 관련 유틸리티들을 통합하여 제공한다. 서비스 경쟁이 생명인 인터넷 비즈니스에서 일관되고 차별화된 서비스를 제공하기 위해서는 복합적이고 안정적인 인프라 구축이 필수적이며, 현재는 네트워크 보안 및 성능 관리, 정보 자료 센터 운영, 서비스 내용 및 품질 관리, 고객 지원 등 ASP 공통의 전문 분야가 서비스 대상이 되고 있다."
"애플릿, applet",,작은 응용 프로그램. 인터넷에서는 자바(Java)로 기술된 Java applet를 가리키는 일이 많다.
"애플 무손실 오디오 코덱, -無損失-, Apple Lossless Audio Codec, ALAC",,애플사가 개발한 무손실 압축 오디오 코덱. 고음질의 오디오를 제공하기 위하여 개발한 코덱으로 2011년 아파치 라이선스로 공개하여 오픈 소스가 되었다.
"애플셰어, AppleShare",,"애플토크 프로토콜에 구현한 파일 공유 솔루션. 모든 매킨토시 컴퓨터에 내장되어 있으며, 최신 버전은 애플셰어 IP로서 애플토크뿐만 아니라 TCP/IP상에서 동작하고, AFP(Apple Filing Protocol), 파일 전송 규약(FTP), SMB(Server Message Block) 파일 전송 프로토콜을 지원하며, 인트라넷, 인터넷, 애플토크 망에서 정보를 공유할 수 있는 시스템이다."
"애플 스크립트, Apple Script",,"미국의 애플 컴퓨터 회사가 개발한 응용 프로그램을 제어하는 매크로 기능. 1992년에 등장한 매킨토시 운영 체계 시스템 7.1(System 7.1) 이상의 운영 체계에서 동작한다. 응용 프로그램의 시동이나 종료뿐만 아니라 파일의 처리와 인쇄 등 메뉴에 있는 기능을 자동적으로 실행할 수 있는 것이 특징이다. 스크립트라는 프로그램(텍스트 파일)을 작성하여 제어하는 내용을 기술한다. 사용자가 실행한 일련의 작업을 자동적으로 스크립트로 기록해서 재실행하는 것도 가능하다. 시스템 7에 새로 추가된 응용 프로그램 간 통신(IAC)을 위한 애플 이벤트를 사용하여 애플 스크립트를 실현한다. 애플 컴퓨터 회사는 1993년에 개발자용 애플 스크립트 키트를 발매하고, 이어서 여러 가지 최신 기능을 추가한 일반 사용자용 매킨토시 운영 체계 제품인 시스템 7 Pro에 애플 스크립트를 표준 첨부하여 발매하였다. 1994년에 발표된 시스템 7.5 이후의 신제품에는 애플 스크립트가 표준 첨부되어 있다."
"애플 앱 장터, App Store",동의어 : 앱 스토어,"애플(Apple)사가 개발·운영하는&nbsp;모바일용 온라인 소프트웨어 장터. 개인이나 기업이 개발한 소프트웨어를 취급하며 이용자는&nbsp;소프트웨어를&nbsp;검색하고 다운로드 받을&nbsp;수 있다. 엔터테인먼트에서 교육, 게임, 업무용까지 그 대상이 광범위하다. 과거에는&nbsp;휴대 전화와 휴대용 멀티미디어 플레이어(PMP)를 사면 내장되거나, 이동통신 업체를 통해 전송받은 소프트웨어가 전부였다. "
"애플 유닉스, Apple UNIX, A/UX",,미국 애플 컴퓨터 회사가 매킨토시용으로 출하하고 있는 유닉스. 시스템 V에 4.3 BSD의 기능과 네트워크 파일 시스템(NSF) 등을 추가하고 매킨토시 특유의 다중 윈도 환경에서 유닉스를 이용할 수 있는 것이 특징이다.
"애플 이벤트, Apple Event",,"미국 애플 컴퓨터 회사의 매킨토시 운영 체계인 시스템 7(System 7)에 새로 추가된 기능인 응용 소프트웨어 간 통신(IAC)을 실현하기 위한 중요한 기능의 하나. 구체적으로는 응용 소프트웨어 간에 통신하기 위하여 사용되는 이벤트(요구와 응답)의 메시지 포맷을 가리킨다. 예를 들면, ‘○○ 파일을 열어라’라는 메시지를 보내면 이 메시지를 받은 쪽은 그 파일을 연다. 파일을 열고 처리를 종료하는 등의 기본적인 것부터 도형 처리 프로그램에서의 섬세한 처리에 이르기까지 많은 애플 이벤트가 규정되어 있다."
"애플 키, Apple key",,"애플 키보드에 있는 키로 애플 컴퓨터 회사의 로고 상징 마크로 표시되어 있는 것. 애플 컴퓨터 회사의 범용 ADB 키보드나 확장 키보드에서 애플 키와 커맨드 키(command key)는 같은 키이며, IBM PC와 호환 기종의 키보드에 있는 컨트롤 키와 유사한 목적에 사용된다. 일반적으로 어떤 문자 키와 조합하여 메뉴를 선택하거나 매크로를 시동시키는 지름길로서 사용된다."
"애플토크, AppleTalk",,"미국의 애플 컴퓨터 회사가 개발한 저가격의 구내 정보 통신망(LAN)용 프로토콜 세트. 이것을 사용하여 매킨토시는 물론 IBM PC 등 애플 이외의 컴퓨터 상호 간에 통신을 할 수 있고, 프린터나 서버 등의 자원을 공유할 수 있다. 매킨토시의 하드웨어와 운영 체계를 표준으로 구현하였기 때문에 매킨토시는 표준 장비 그대로 망을 구성할 수 있다. 애플토크는 ISO/OSI 모델과 비슷한 계층화된 구조를 가지며, 하위층에서부터 보면 물리층, 데이터 링크층, 종단 간 데이터 흐름층, 네임드 엔티티층(named entity layer), 고신뢰성 데이터 전송층 및 최종 사용자 서비스층으로 구성된다. 물리층에는 애플 컴퓨터 회사 독자적인 로컬토크(LocalTalk) 이외에 이더넷과 토큰 고리(token ring)를 마련한다. 데이터 링크층의 프로토콜로는 로컬토크에 대응하는 LLAP (LocalTalk link access protocol), 이더넷에 대응하는 ELAP(EtherTalk link access protocol), 토큰 고리에 대응하는 TLAP (TokenTalk link access protocol), 원격 접속용의 ARAP(AppleTalk remote access protocol) 등이 있다. 종단 간 데이터 흐름층에서는 데이터 전송을 위한 DDP(datagram delivery protocol)와 루팅용의 RTMP(routing table maintenance protocol) 등이 사용된다. 고신뢰성 데이터 전송층에서는 ATP(AppleTalk transaction protocol)와 ASP(AppleTalk session protocol) 등이 사용된다. 그리고 최종 사용자 서비스층에서는 AFP(AppleTalk filing protocol)와 포스트스크립트가 사용된다."
"애플토크 링크 접속 프로토콜, -接續-, AppleTalk Link Access Protocol, ALAP",,"로컬 토크상의 패킷 전송을 제어하는 데이터 링크 접속 프로토콜. 애플토크 네트워크에서 노드 간의 데이터 전송을 제어하는 것으로, 데이터의 캡슐 전송과 수신 데이터의 인식, 각 노드 번호 지정, 반송파 감지 다중 접속/충돌 회피(CSMA/CA) 기능을 수행한다."
"애플토크 세션 프로토콜, AppleTalk Session Protocol, ASP",,"ATP(AppleTalk Transaction Protocol)를 사용해 세션 설정, 유지, 해제, 요청 시퀀스 처리 등의 기능을 제공하는 프로토콜. 각 세션별로 단일 세션 식별자를 지정하여 ASP 세션을 설정하며, 클라이언트는 세션을 개시하고 명령을 내리며, 서버는 명령에 대응하는 비대칭 프로토콜이다."
"애플토크 주소 결정 프로토콜, -住所決定-, AppleTalk Address Resolution Protocol, AARP",,"애플토크 망 주소와 하드웨어 주소를 연결하는 애플토크의 망 계층 프로토콜. 각종 애플토크 프로토콜에서 사용되며, 데이터 전송 시 목적지 주소를 지정하고, 망 주소를 사용하는 장치와 관련된 하드웨어 주소를 찾는 일을 한다. 다른 망 노드의 하드웨어 주소를 인식하기 위한 방법으로는 요청-응답 프로세스를 사용하며, 매체 의존형 프로토콜이기 때문에 하드웨어 주소를 요청하는 방법은 데이터 링크 계층의 수행에 따라 달라진다."
"애플토크 트랜잭션 프로토콜, AppleTalk Transaction Protocol, ATP",,"소켓 사이에서 손실이 없는 트랜잭션 서비스를 제공하는 전송 레벨 프로토콜. 클라이언트가 다른 클라이언트에게 특정한 작업을 실행하고 그 결과를 보고하기 위해 두 소켓 클라이언트 사이의 정보 교환을 가능하게 하며, 요청과 응답을 함께 묶어 요청-응답식의 신뢰성 있는 교환을 보장한다."
"애플토크 파일링 프로토콜, AppleTalk Filing Protocol, AFP",,"매킨토시 환경에서 애플토크 망의 클라이언트가 애플토크 파일 시스템 구조로 수행되는 서버에 접근할 수 있도록 해주는 원격 파일 프로토콜. 사용자 인증을 지원하고 시스템간 연결을 형성하며, 데이터 감시기능을 담당하는 하위 계층 프로토콜에 사용자 명령을 전달한다. 주요 특징에는 파일 서버의 정보의 취득 및 변환, 파일 및 디렉터리의 생성 및 삭제, 파일 읽고 쓰기, 파일내의 정보 검색 및 저장 등의 기능이 있다."
"액간 전위, 液間電位, liquid junction potential",,"농도가 다른 두 개의 용액 또는 이종(異種) 용액의 경계면에서 발생하는 전위차. 농도 차, 이온의 종류, 그 이동도차(移動度差)에 관계된다. 보통 mV로 나타낸다."
"액세스권, -權, Right to Access",,국민이 자신의 사상이나 의견을 발표하기 위하여 언론 매체에 자유로이 접근하여 이용할 수 있는 권리. 신문이나 방송 같은 매스 미디어(대중 매체)가 발전하고 정보가 한 방향으로만 흐를 수 있는 현대 사회에서 시민이 매스 미디어에 접근해 비판이나 반론을 제기할 수 있는 권리로 반론게재권은 그 한 예이다.
